date,value,cost_basis,pnl,performance_pct,performance_index
2025-09-08,1493.6599999999999,1525.35,-31.68,0.0,100.0
2025-09-09,1483.24,1525.52,-42.28,-0.6946135920438943,99.3053864079561
2025-09-10,6190.34,6250.87,-60.510000000000005,1.10887513263346,101.10887513263346
2025-09-11,6216.4800000000005,6249.0,-32.52,1.5564971189962136,101.55649711899622
2025-09-12,7013.02,7051.91,-38.91,1.52513497528162,101.52513497528162
2025-09-15,8586.2,8527.54,58.64,2.7645547363565184,102.76455473635652
2025-09-16,10640.57,10657.86,-17.270000000000003,1.9148603492152154,101.91486034921522
2025-09-17,10740.67,10662.060000000001,78.58000000000001,2.813906177895984,102.81390617789599
2025-09-18,10972.54,10675.05,297.51,4.86386625253086,104.86386625253085
2025-09-19,11194.86,10671.89,522.95,6.977157039087514,106.97715703908752
2025-09-22,11408.81,10681.73,727.06,8.883475722906445,108.88347572290644
2025-09-23,11413.16,10687.33,725.85,8.868587362399136,108.86858736239914
2025-09-24,11407.62,10708.710000000001,698.84,8.60280312997446,108.60280312997446
2025-09-25,11463.710000000001,10720.66,743.03,9.007723672383214,109.00772367238321
2025-09-26,11540.53,10725.56,814.97,9.6752915164757,109.6752915164757
2025-09-29,11646.32,10718.55,927.74,10.73236217639164,110.73236217639163
2025-09-30,11674.75,10718.55,956.1700000000001,10.997603277100225,110.99760327710023
2025-10-01,11727.17,10725.22,1001.93,11.418713418589146,111.41871341858915
2025-10-02,11809.32,10733.28,1076.01,12.10188808532078,112.10188808532078
2025-10-03,11793.8,10729.77,1064.01,11.993329160649825,111.99332916064982
2025-10-06,12368.529999999999,11150.55,1217.94,12.999590295675336,112.99959029567533
2025-10-07,12308.789999999999,11149.03,1159.74,12.479060930220808,112.47906093022081
2025-10-08,12566.07,11149.42,1416.68,14.783211563831056,114.78321156383106
2025-10-09,12364.34,11167.710000000001,1196.63,12.79198879466102,112.79198879466102
2025-10-10,12052.9,11167.710000000001,885.17,10.003055342771596,110.0030553427716
2025-10-13,5848.76,5333.4,515.36,11.739779597528361,111.73977959752835
2025-10-14,12458.91,11185.23,1273.68,13.464060057481433,113.46406005748143
2025-10-15,12565.869999999999,11184.85,1381.04,14.424316754770722,114.42431675477073
2025-10-16,12425.6,11185.99,1239.61,13.15870896729163,113.15870896729163
2025-10-17,12028.89,11181.03,847.83,9.659654387398323,109.65965438739832
2025-10-20,12124.09,11181.43,942.65,10.50739630398667,110.50739630398667
2025-10-21,11877.8,11176.1,701.72,8.355655942255485,108.35565594225548
2025-10-22,11828.46,11166.15,662.25,8.00777181189806,108.00777181189807
2025-10-23,11891.76,11165.02,726.7500000000001,8.58606919826316,108.58606919826316
2025-10-24,11949.66,11173.03,776.61,9.02765590820611,109.02765590820611
2025-10-27,11894.71,11165.77,728.95,8.605335054839905,108.60533505483991
2025-10-28,12002.1,11152.060000000001,850.0,9.698810595622849,109.69881059562285
2025-10-29,11932.75,11135.72,797.0600000000001,9.234587538008773,109.23458753800877
2025-10-30,11972.35,11162.73,809.61,9.329696070595087,109.32969607059509
2025-10-31,12034.66,11174.57,860.08,9.773661869642837,109.77366186964284
2025-11-03,11987.49,11189.4,798.0699999999999,9.20927566726923,109.20927566726922
2025-11-04,11581.53,11201.98,379.52,5.464872866954501,105.4648728669545
2025-11-05,11738.91,11213.42,525.49,6.763160240011918,106.76316024001191
2025-11-06,11547.47,11211.890000000001,335.58,5.069972916338605,105.0699729163386
2025-11-07,11619.49,11191.7,427.78999999999996,5.899286616173093,105.8992866161731
2025-11-10,12052.7,11175.34,877.37,9.927847200349166,109.92784720034916
2025-11-11,11938.97,11175.34,763.63,8.91007055999639,108.91007055999638
